"utterance","item","speaker_belief","prob"
"think-doesnt_dance-?","Charley_L","dances",0.422586598590128
"think-doesnt_dance-?","Charley_L","doesnt_dance",0.577413401409872
"think-doesnt_dance-?","Danny_H","dances",0.793126567594211
"think-doesnt_dance-?","Danny_H","doesnt_dance",0.206873432405789
"think-doesnt_dance-?","Danny_L","dances",0.42592103068402
"think-doesnt_dance-?","Danny_L","doesnt_dance",0.57407896931598
"think-doesnt_dance-?","Emily_H","dances",0.693400065727691
"think-doesnt_dance-?","Emily_H","doesnt_dance",0.306599934272309
"think-doesnt_dance-?","Emily_L","dances",0.259011782016451
"think-doesnt_dance-?","Emily_L","doesnt_dance",0.740988217983549
"think-doesnt_dance-?","Emma_H","dances",0.781747208646643
"think-doesnt_dance-?","Emma_H","doesnt_dance",0.218252791353357
"think-doesnt_dance-?","Emma_L","dances",0.474353999102329
"think-doesnt_dance-?","Emma_L","doesnt_dance",0.525646000897671
"think-doesnt_dance-?","Frank_H","dances",0.781013854750664
"think-doesnt_dance-?","Frank_H","doesnt_dance",0.218986145249336
"think-doesnt_dance-?","Frank_L","dances",0.284824023915898
"think-doesnt_dance-?","Frank_L","doesnt_dance",0.715175976084102
"think-doesnt_dance-?","Grace_H","dances",0.856013251789877
"think-doesnt_dance-?","Grace_H","doesnt_dance",0.143986748210123
"think-doesnt_dance-?","Grace_L","dances",0.3875371096167
"think-doesnt_dance-?","Grace_L","doesnt_dance",0.612462890383301
"think-doesnt_dance-?","Isabella_H","dances",0.658050211996912
"think-doesnt_dance-?","Isabella_H","doesnt_dance",0.341949788003088
"think-doesnt_dance-?","Isabella_L","dances",0.220354360323933
"think-doesnt_dance-?","Isabella_L","doesnt_dance",0.779645639676066
"think-doesnt_dance-?","Jackson_H","dances",0.845941058538651
"think-doesnt_dance-?","Jackson_H","doesnt_dance",0.154058941461349
"think-doesnt_dance-?","Jackson_L","dances",0.307554274192522
"think-doesnt_dance-?","Jackson_L","doesnt_dance",0.692445725807478
"think-doesnt_dance-?","Jayden_H","dances",0.786672278371097
"think-doesnt_dance-?","Jayden_H","doesnt_dance",0.213327721628903
"think-doesnt_dance-?","Jayden_L","dances",0.293168373177618
"think-doesnt_dance-?","Jayden_L","doesnt_dance",0.706831626822382
"think-doesnt_dance-?","Jon_H","dances",0.833236982432125
"think-doesnt_dance-?","Jon_H","doesnt_dance",0.166763017567875
"think-doesnt_dance-?","Jon_L","dances",0.372575840438323
"think-doesnt_dance-?","Jon_L","doesnt_dance",0.627424159561677
"think-doesnt_dance-?","Josh_H","dances",0.679921530408347
"think-doesnt_dance-?","Josh_H","doesnt_dance",0.320078469591653
"think-doesnt_dance-?","Josh_L","dances",0.374103142376273
"think-doesnt_dance-?","Josh_L","doesnt_dance",0.625896857623727
"think-doesnt_dance-?","Josie_H","dances",0.81807106866197
"think-doesnt_dance-?","Josie_H","doesnt_dance",0.18192893133803
"think-doesnt_dance-?","Josie_L","dances",0.207164690761256
"think-doesnt_dance-?","Josie_L","doesnt_dance",0.792835309238744
"think-doesnt_dance-?","Julian_H","dances",0.722631472786638
"think-doesnt_dance-?","Julian_H","doesnt_dance",0.277368527213362
"think-doesnt_dance-?","Julian_L","dances",0.554727208576498
"think-doesnt_dance-?","Julian_L","doesnt_dance",0.445272791423502
"think-doesnt_dance-?","Mary_H","dances",0.872533212918917
"think-doesnt_dance-?","Mary_H","doesnt_dance",0.127466787081084
"think-doesnt_dance-?","Mary_L","dances",0.359569548481476
"think-doesnt_dance-?","Mary_L","doesnt_dance",0.640430451518524
"think-doesnt_dance-?","Olivia_H","dances",0.770446129709494
"think-doesnt_dance-?","Olivia_H","doesnt_dance",0.229553870290506
"think-doesnt_dance-?","Olivia_L","dances",0.340441601381697
"think-doesnt_dance-?","Olivia_L","doesnt_dance",0.659558398618303
"think-doesnt_dance-?","Owen_H","dances",0.826884642086416
"think-doesnt_dance-?","Owen_H","doesnt_dance",0.173115357913584
"think-doesnt_dance-?","Owen_L","dances",0.425425343493586
"think-doesnt_dance-?","Owen_L","doesnt_dance",0.574574656506414
"think-doesnt_dance-?","Tony_H","dances",0.827421015223639
"think-doesnt_dance-?","Tony_H","doesnt_dance",0.172578984776361
"think-doesnt_dance-?","Tony_L","dances",0.35213596828341
"think-doesnt_dance-?","Tony_L","doesnt_dance",0.64786403171659
"think-doesnt_dance-?","Zoe_H","dances",0.826540120344297
"think-doesnt_dance-?","Zoe_H","doesnt_dance",0.173459879655702
"think-doesnt_dance-?","Zoe_L","dances",0.315846875909656
"think-doesnt_dance-?","Zoe_L","doesnt_dance",0.684153124090344
