"predicate","belief_content","utterance_type","content","prior","mean_belief_rating","count"
"confirm","p","pos","frank",0.67972027972028,0.693333333333333,3
"confirm","p","pos","grace",0.790144927536232,0.63,2
"confirm","p","pos","jackson",0.774965034965035,0.68,7
"confirm","p","pos","jayden",0.687794117647059,0.518,5
"confirm","p","pos","josie",0.73343949044586,0.696666666666667,3
"confirm","p","pos","mary",0.815167785234899,0.79,2
"confirm","p","pos","owen",0.74648275862069,0.595,4
"confirm","p","pos","tony",0.747279411764706,0.73125,8
"confirm","p","pos","zoe",0.745971223021583,0.5,2
"confirm","p","neg","charley",0.195367647058823,0.512,5
"confirm","p","neg","danny",0.302937062937063,0.565,2
"confirm","p","neg","frank",0.32027972027972,0.508888888888889,9
"confirm","p","neg","grace",0.209855072463768,0.45,4
"confirm","p","neg","jackson",0.225034965034965,0.26,2
"confirm","p","neg","jayden",0.312205882352941,0.658,5
"confirm","p","neg","jon",0.2440625,0.41,1
"confirm","p","neg","josie",0.26656050955414,0.388333333333333,6
"confirm","p","neg","mary",0.184832214765101,0.63,5
"confirm","p","neg","owen",0.25351724137931,0.2975,4
"confirm","p","neg","tony",0.252720588235294,0.553333333333333,3
"confirm","p","neg","zoe",0.254028776978417,0.53,3
"inform","not_p","pos","charley",0.804632352941177,0.295,6
"inform","not_p","pos","danny",0.697062937062937,0.17,7
"inform","not_p","pos","frank",0.67972027972028,0.49,1
"inform","not_p","pos","grace",0.790144927536232,0.13,6
"inform","not_p","pos","jackson",0.774965034965035,0.2925,4
"inform","not_p","pos","jayden",0.687794117647059,0.085,4
"inform","not_p","pos","jon",0.7559375,0.1275,4
"inform","not_p","pos","josie",0.73343949044586,0.185,6
"inform","not_p","pos","mary",0.815167785234899,0.146666666666667,3
"inform","not_p","pos","owen",0.74648275862069,0.0866666666666667,3
"inform","not_p","pos","tony",0.747279411764706,0.005,2
"inform","not_p","pos","zoe",0.745971223021583,0.03,3
"inform","not_p","neg","charley",0.195367647058823,0.33,1
"inform","not_p","neg","danny",0.302937062937063,0.955,2
"inform","not_p","neg","frank",0.32027972027972,0.625,4
"inform","not_p","neg","grace",0.209855072463768,0.59875,8
"inform","not_p","neg","jackson",0.225034965034965,0.5125,4
"inform","not_p","neg","jayden",0.312205882352941,0.53,2
"inform","not_p","neg","jon",0.2440625,0.74,4
"inform","not_p","neg","josie",0.26656050955414,0.75,3
"inform","not_p","neg","mary",0.184832214765101,0.865,6
"inform","not_p","neg","owen",0.25351724137931,0.686666666666667,3
"inform","not_p","neg","tony",0.252720588235294,0.64375,8
"inform","not_p","neg","zoe",0.254028776978417,0.89,4
"inform","p","pos","charley",0.804632352941177,0.705,6
"inform","p","pos","danny",0.697062937062937,0.83,7
"inform","p","pos","frank",0.67972027972028,0.51,1
"inform","p","pos","grace",0.790144927536232,0.87,6
"inform","p","pos","jackson",0.774965034965035,0.7075,4
"inform","p","pos","jayden",0.687794117647059,0.915,4
"inform","p","pos","jon",0.7559375,0.8725,4
"inform","p","pos","josie",0.73343949044586,0.815,6
"inform","p","pos","mary",0.815167785234899,0.853333333333333,3
"inform","p","pos","owen",0.74648275862069,0.913333333333333,3
"inform","p","pos","tony",0.747279411764706,0.995,2
"inform","p","pos","zoe",0.745971223021583,0.97,3
"inform","p","neg","charley",0.195367647058823,0.67,1
"inform","p","neg","danny",0.302937062937063,0.045,2
"inform","p","neg","frank",0.32027972027972,0.375,4
"inform","p","neg","grace",0.209855072463768,0.40125,8
"inform","p","neg","jackson",0.225034965034965,0.4875,4
"inform","p","neg","jayden",0.312205882352941,0.47,2
"inform","p","neg","jon",0.2440625,0.26,4
"inform","p","neg","josie",0.26656050955414,0.25,3
"inform","p","neg","mary",0.184832214765101,0.135,6
"inform","p","neg","owen",0.25351724137931,0.313333333333333,3
"inform","p","neg","tony",0.252720588235294,0.35625,8
"inform","p","neg","zoe",0.254028776978417,0.11,4
