item,content,prior_type,state,n,prop
Olivia_L,Olivia sleeps until noon,factL,3,40,0.091533181
Olivia_L,Olivia sleeps until noon,factL,4,17,0.038901602
Olivia_L,Olivia sleeps until noon,factL,5,14,0.032036613
Olivia_L,Olivia sleeps until noon,factL,6,13,0.029748284
Olivia_L,Olivia sleeps until noon,factL,7,4,0.009153318
Olivia_L,Olivia sleeps until noon,factL,8,12,0.027459954
Olivia_L,Olivia sleeps until noon,factL,9,9,0.020594966
Olivia_L,Olivia sleeps until noon,factL,10,3,0.006864989
Owen_H,Owen shoveled snow last winter,factH,1,3,0.006772009
Owen_H,Owen shoveled snow last winter,factH,2,2,0.004514673
Owen_H,Owen shoveled snow last winter,factH,3,1,0.002257336
Owen_H,Owen shoveled snow last winter,factH,4,10,0.022573363
Owen_H,Owen shoveled snow last winter,factH,5,10,0.022573363
Owen_H,Owen shoveled snow last winter,factH,6,46,0.103837472
Owen_H,Owen shoveled snow last winter,factH,7,45,0.101580135
Owen_H,Owen shoveled snow last winter,factH,8,84,0.189616253
Owen_H,Owen shoveled snow last winter,factH,9,97,0.218961625
Owen_H,Owen shoveled snow last winter,factH,10,145,0.32731377
Owen_L,Owen shoveled snow last winter,factL,1,169,0.399527187
Owen_L,Owen shoveled snow last winter,factL,2,92,0.21749409
Owen_L,Owen shoveled snow last winter,factL,3,53,0.125295508
Owen_L,Owen shoveled snow last winter,factL,4,27,0.063829787
Owen_L,Owen shoveled snow last winter,factL,5,18,0.042553191
Owen_L,Owen shoveled snow last winter,factL,6,22,0.052009456
Owen_L,Owen shoveled snow last winter,factL,7,13,0.030732861
Owen_L,Owen shoveled snow last winter,factL,8,6,0.014184397
Owen_L,Owen shoveled snow last winter,factL,9,15,0.035460993
Owen_L,Owen shoveled snow last winter,factL,10,8,0.01891253
Sophia_H,Sophia got a tattoo,factH,1,5,0.011389522
Sophia_H,Sophia got a tattoo,factH,2,4,0.009111617
Sophia_H,Sophia got a tattoo,factH,3,11,0.025056948
Sophia_H,Sophia got a tattoo,factH,4,14,0.031890661
Sophia_H,Sophia got a tattoo,factH,5,52,0.118451025
Sophia_H,Sophia got a tattoo,factH,6,102,0.232346241
Sophia_H,Sophia got a tattoo,factH,7,92,0.209567198
Sophia_H,Sophia got a tattoo,factH,8,78,0.177676538
Sophia_H,Sophia got a tattoo,factH,9,46,0.104783599
Sophia_H,Sophia got a tattoo,factH,10,35,0.079726651
Sophia_L,Sophia got a tattoo,factL,1,55,0.128805621
Sophia_L,Sophia got a tattoo,factL,2,62,0.145199063
Sophia_L,Sophia got a tattoo,factL,3,63,0.147540984
Sophia_L,Sophia got a tattoo,factL,4,62,0.145199063
Sophia_L,Sophia got a tattoo,factL,5,69,0.161592506
Sophia_L,Sophia got a tattoo,factL,6,55,0.128805621
Sophia_L,Sophia got a tattoo,factL,7,24,0.056206089
Sophia_L,Sophia got a tattoo,factL,8,13,0.030444965
Sophia_L,Sophia got a tattoo,factL,9,12,0.028103044
Sophia_L,Sophia got a tattoo,factL,10,12,0.028103044
Tony_H,Tony had a drink last night,factH,1,0,0
Tony_H,Tony had a drink last night,factH,2,1,0.002380952
Tony_H,Tony had a drink last night,factH,3,6,0.014285714
Tony_H,Tony had a drink last night,factH,4,3,0.007142857
Tony_H,Tony had a drink last night,factH,5,22,0.052380952
Tony_H,Tony had a drink last night,factH,6,45,0.107142857
Tony_H,Tony had a drink last night,factH,7,70,0.166666667
Tony_H,Tony had a drink last night,factH,8,101,0.24047619
Tony_H,Tony had a drink last night,factH,9,111,0.264285714
Tony_H,Tony had a drink last night,factH,10,61,0.145238095
Tony_L,Tony had a drink last night,factL,1,238,0.533632287
Tony_L,Tony had a drink last night,factL,2,92,0.206278027
Tony_L,Tony had a drink last night,factL,3,43,0.096412556
Tony_L,Tony had a drink last night,factL,4,21,0.047085202
Tony_L,Tony had a drink last night,factL,5,12,0.02690583
Tony_L,Tony had a drink last night,factL,6,14,0.031390135
Tony_L,Tony had a drink last night,factL,7,9,0.020179372
Tony_L,Tony had a drink last night,factL,8,6,0.013452915
Tony_L,Tony had a drink last night,factL,9,4,0.00896861
Tony_L,Tony had a drink last night,factL,10,7,0.015695067
Zoe_H,Zoe calculated the tip,factH,1,2,0.004474273
Zoe_H,Zoe calculated the tip,factH,2,0,0
Zoe_H,Zoe calculated the tip,factH,3,3,0.006711409
Zoe_H,Zoe calculated the tip,factH,4,6,0.013422819
Zoe_H,Zoe calculated the tip,factH,5,13,0.029082774
Zoe_H,Zoe calculated the tip,factH,6,42,0.093959732
Zoe_H,Zoe calculated the tip,factH,7,61,0.136465324
Zoe_H,Zoe calculated the tip,factH,8,108,0.241610738
Zoe_H,Zoe calculated the tip,factH,9,99,0.22147651
Zoe_H,Zoe calculated the tip,factH,10,113,0.252796421
Zoe_L,Zoe calculated the tip,factL,1,241,0.575178998
Zoe_L,Zoe calculated the tip,factL,2,80,0.190930788
Zoe_L,Zoe calculated the tip,factL,3,41,0.097852029
Zoe_L,Zoe calculated the tip,factL,4,17,0.040572792
Zoe_L,Zoe calculated the tip,factL,5,11,0.026252983
Zoe_L,Zoe calculated the tip,factL,6,5,0.011933174
Zoe_L,Zoe calculated the tip,factL,7,8,0.019093079
Zoe_L,Zoe calculated the tip,factL,8,8,0.019093079
Zoe_L,Zoe calculated the tip,factL,9,5,0.011933174
Zoe_L,Zoe calculated the tip,factL,10,3,0.007159905
