content,prior_type,state,n,prop
Josh learned to ride a bike yesterday,factL,6,20,0.047505938242280284
Josh learned to ride a bike yesterday,factL,7,10,0.023752969121140142
Josh learned to ride a bike yesterday,factL,8,8,0.019002375296912115
Josh learned to ride a bike yesterday,factL,9,2,0.004750593824228029
Josh learned to ride a bike yesterday,factL,10,4,0.009501187648456057
Josie went on vacation to France,factH,1,3,0.006622516556291391
Josie went on vacation to France,factH,2,4,0.008830022075055188
Josie went on vacation to France,factH,3,2,0.004415011037527594
Josie went on vacation to France,factH,4,6,0.013245033112582781
Josie went on vacation to France,factH,5,35,0.0772626931567329
Josie went on vacation to France,factH,6,49,0.10816777041942605
Josie went on vacation to France,factH,7,81,0.17880794701986755
Josie went on vacation to France,factH,8,99,0.2185430463576159
Josie went on vacation to France,factH,9,88,0.19426048565121412
Josie went on vacation to France,factH,10,86,0.18984547461368653
Josie went on vacation to France,factL,1,314,0.7602905569007264
Josie went on vacation to France,factL,2,41,0.09927360774818401
Josie went on vacation to France,factL,3,13,0.031476997578692496
Josie went on vacation to France,factL,4,9,0.021791767554479417
Josie went on vacation to France,factL,5,12,0.029055690072639227
Josie went on vacation to France,factL,6,9,0.021791767554479417
Josie went on vacation to France,factL,7,4,0.009685230024213076
Josie went on vacation to France,factL,8,6,0.014527845036319613
Josie went on vacation to France,factL,9,2,0.004842615012106538
Josie went on vacation to France,factL,10,3,0.007263922518159807
Julian dances salsa,factH,2,9,0.02102803738317757
Julian dances salsa,factH,3,13,0.030373831775700934
Julian dances salsa,factH,4,21,0.04906542056074766
Julian dances salsa,factH,5,67,0.15654205607476634
Julian dances salsa,factH,6,118,0.2757009345794392
Julian dances salsa,factH,7,72,0.16822429906542055
Julian dances salsa,factH,8,67,0.15654205607476634
Julian dances salsa,factH,9,32,0.07476635514018691
Julian dances salsa,factH,10,29,0.06775700934579439
Julian dances salsa,factL,1,39,0.08904109589041095
Julian dances salsa,factL,2,62,0.1415525114155251
Julian dances salsa,factL,3,84,0.1917808219178082
Julian dances salsa,factL,4,89,0.20319634703196346
Julian dances salsa,factL,5,76,0.1735159817351598
Julian dances salsa,factL,6,59,0.13470319634703196
Julian dances salsa,factL,7,6,0.0136986301369863
Julian dances salsa,factL,8,12,0.0273972602739726
Julian dances salsa,factL,9,6,0.0136986301369863
Julian dances salsa,factL,10,5,0.01141552511415525
Mary is pregnant,factH,1,11,0.025522041763341066
Mary is pregnant,factH,2,2,0.004640371229698376
Mary is pregnant,factH,3,4,0.009280742459396751
Mary is pregnant,factH,4,7,0.016241299303944315
Mary is pregnant,factH,5,8,0.018561484918793503
Mary is pregnant,factH,6,11,0.025522041763341066
Mary is pregnant,factH,7,14,0.03248259860788863
